Date,Round,Winner,Loser,Length,Winner_Score,Loser_Score,Winner_Games,Loser_Games,Total_Games,Crawford
1/12/2020,1st,John Kalachnik,Rory Freeman,5,5,0,4,0,4,John Kalachnik
1/12/2020,1st,Dana Coutu,AJ DuChene,5,5,0,4,0,4,Dana Coutu
1/12/2020,1st,Lee Przybylski,Ed Januska,5,6,1,2,1,3,none
1/12/2020,1st,Jim Petersen,Bill Steffens,5,5,3,4,3,7,none
1/12/2020,2nd,Kosta Lekkas,Jim Petersen,5,6,1,3,1,4,Kosta Lekkas
1/12/2020,2nd,Scott Henderson,Lee Przybylski,5,6,2,3,2,5,Scott Henderson
1/12/2020,Cons1,Ed Januska,Bill Steffens,5,5,4,4,3,7,Bill Steffens
1/12/2020,Cons1,Rory Freeman,AJ DuChene,5,5,2,2,1,3,none
1/12/2020,Cons2,Rory Freeman,Lee Przybylski,5,7,4,4,2,6,Lee Przybylski
1/12/2020,3rd,Kosta Lekkas,Dana Coutu,5,6,4,4,3,7,Kosta Lekkas
1/12/2020,3rd,John Kalachnik,Scott Henderson,5,5,4,4,3,7,Scott Henderson
1/12/2020,Cons2,Jim Petersen,Scott Henderson,5,5,0,3,0,3,Jim Petersen
1/12/2020,Cons3,Rory Freeman,Ed Januska,5,5,0,2,0,2,Rory Freeman
1/12/2020,Cons4,Dana Coutu,Jim Petersen,5,5,1,3,1,4,none
1/12/2020,Final,John Kalachnik,Kosta Lekkas,7,7,6,6,6,12,Kosta Lekkas
1/12/2020,3rd Pl,Rory Freeman,Dana Coutu,5,5,0,2,0,2,Rory Freeman
2/9/2020,1st,Lee Przybylski,Dana Coutu,5,5,1,5,1,6,Lee Przybylski
2/9/2020,1st,Ed Januska,G David,5,5,2,2,1,3,none
2/9/2020,1st,Jim Petersen,John Kalachnik,5,5,2,5,2,7,Jim Petersen
2/9/2020,1st,Jim Petersen,Bill Steffens,5,6,3,3,3,6,none
2/9/2020,2nd,David Nelmark,AJ DuChene,5,5,0,2,0,2,none
2/9/2020,2nd,Lee Przybylski,Scott Henderson,5,5,0,3,0,3,none
2/9/2020,2nd,Ed Januska,Kosta Lekkas,5,5,3,4,2,6,Ed Januska
2/9/2020,Cons1,John Kalachnik,AJ DuChene,5,5,3,5,2,7,John Kalachnik
2/9/2020,Cons2,G David,Dana Coutu,5,5,0,5,0,5,G David
2/9/2020,3rd,Lee Przybylski,Ed Januska,5,5,1,3,1,4,none
2/9/2020,Cons1,Kosta Lekkas,Scott Henderson,5,5,3,4,2,6,Kosta Lekkas
2/9/2020,Cons2,Kosta Lekkas,Bill Steffens,5,6,1,2,1,3,none
2/9/2020,3rd,Jim Petersen,David Nelmark,5,5,3,3,3,6,none
2/9/2020,Cons2,John Kalachnik,G David,5,5,4,3,3,6,John Kalachnik
2/9/2020,Final,Lee Przybylski,Jim Petersen,7,7,6,5,4,9,Lee Przybylski
2/9/2020,Cons3,Kosta Lekkas,John Kalachnik,7,6,0,1,0,1,Kosta Lekkas
2/9/2020,Cons3,Ed Januska,David Nelmark,7,7,0,3,0,3,none
2/9/2020,3rd Pl,Ed Januska,Dana Coutu,5,5,1,4,1,5,Ed Januska
