Date,Round,Winner,Loser,Length,Winner_Score,Loser_Score,Winner_Games,Loser_Games,Total_Games,Crawford
9/19/2019,1st,AJ DuChene,Kosta Lekkas,5,5,0,4,0,4,AJ DuChene
9/19/2019,1st,Rory,G David,5,5,2,NA,NA,NA,NA
9/19/2019,1st,Bill Steffen,Scott Henderson,5,5,0,NA,NA,NA,NA
9/19/2019,1st,John K,Ethan,5,5,1,NA,NA,NA,NA
9/19/2019,2nd,Bill Steffen,Al ,5,5,1,NA,NA,NA,NA
9/19/2019,1st,Lee Przybylski,Rory,5,5,3,3,3,6,none
9/19/2019,Cons,Al ,G David,5,5,4,NA,NA,NA,NA
9/19/2019,Cons,Rory,Scott Henderson,5,5,0,NA,NA,NA,NA
9/19/2019,Cons,Kosta Lekkas,Al ,5,5,4,NA,NA,NA,NA
9/19/2019,Cons,Rory,Ethan,5,5,3,NA,NA,NA,NA
9/19/2019,Cons,Kosta Lekkas,John K,5,5,4,NA,NA,NA,NA
9/19/2019,Cons,AJ DuChene,Rory,5,5,2,NA,NA,NA,NA
9/19/2019,3rd Pl,Kosta Lekkas,AJ DuChene,5,5,2,NA,NA,NA,NA
9/19/2019,3rd,Lee Przybylski,John K,5,5,4,4,3,7,John K
9/19/2019,Final,Bill Steffen,Lee Przybylski,7,7,2,4,2,6,none
